"","Gene.Description","Gene.Accession.Number","index","num_cor","a_num_cor","cat_cor","a_cat_cor","tot_cor"
"6919","RNS2 Ribonuclease 2 (eosinophil-derived neurotoxin; EDN)","X16546_at",6919,-0.644113858426915,0.644113858426915,-0.471086902470243,0.471086902470243,1.11520076089716
"2043","LGALS3 Lectin; galactoside-binding; soluble; 3 (galectin 3) (NOTE: redefinition of symbol)","M57710_at",2043,-0.695440284326387,0.695440284326387,-0.406181197229962,0.406181197229962,1.10162148155635
"173","PRKCD Protein kinase C; delta","D10495_at",173,-0.640591332798996,0.640591332798996,-0.46042281956207,0.46042281956207,1.10101415236107
"5598","PTGS2 Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)","L15326_s_at",5598,-0.558509877291751,0.558509877291751,-0.537373290623879,0.537373290623879,1.09588316791563
"2276","TCF12 Transcription factor 12 (HTF4; helix-loop-helix transcription factors 4)","M83233_at",2276,0.462031821358852,0.462031821358852,0.630929176171425,0.630929176171425,1.09296099753028
"3778","GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE","U79285_at",3778,0.450593427610749,0.450593427610749,0.638284738504225,0.638284738504225,1.08887816611497
"2441","HKR-T1","S50223_at",2441,0.57513556622204,0.57513556622204,0.5134031531591,0.5134031531591,1.08853871938114
"1739","PCNA Proliferating cell nuclear antigen","M15796_at",1739,0.497837775122913,0.497837775122913,0.590207918285519,0.590207918285519,1.08804569340843
"6308","GRO2 GRO2 oncogene","M57731_s_at",6308,-0.568076564890965,0.568076564890965,-0.518210216554854,0.518210216554854,1.08628678144582
"436","KIAA0097 gene","D43948_at",436,0.488994435938396,0.488994435938396,0.597081434026532,0.597081434026532,1.08607586996493
"4279","PRTN3 Proteinase 3 (serine proteinase; neutrophil; Wegener granulomatosis autoantigen)","X55668_at",4279,-0.54864775217403,0.54864775217403,-0.537373290623879,0.537373290623879,1.08602104279791
"1829","PPGB Protective protein for beta-galactosidase (galactosialidosis)","M22960_at",1829,-0.679427173913247,0.679427173913247,-0.406181197229962,0.406181197229962,1.08560837114321
"6277","Amphiregulin (AR) gene","M30703_s_at",6277,-0.489729444962838,0.489729444962838,-0.594797118224465,0.594797118224465,1.0845265631873
"6285","Proto-oncogene BCL3 gene","U05681_s_at",6285,-0.581600975518997,0.581600975518997,-0.501221819206627,0.501221819206627,1.08282279472562
"459","Fructose 6-phosphate;2-kinase/fructose 2;6-bisphosphatase","D49817_at",459,-0.544110064225852,0.544110064225852,-0.537373290623879,0.537373290623879,1.08148335484973
"515","Platelet activating factor acetylhydrolase IB gamma-subunit","D63391_at",515,0.565160618526148,0.565160618526148,0.515461427355905,0.515461427355905,1.08062204588205
"683","KIAA0230 gene; partial cds","D86983_at",683,0.376611036439562,0.376611036439562,0.698724186081667,0.698724186081667,1.07533522252123
"6672","IL1RN Interleukin 1 receptor antagonist","X53296_s_at",6672,-0.53474018080805,0.53474018080805,-0.537373290623879,0.537373290623879,1.07211347143193
"804","Macmarcks","HG1612-HT1612_at",804,0.534182404153581,0.534182404153581,0.537373290623879,0.537373290623879,1.07155569477746
"3669","Ninjurin1 mRNA","U72661_at",3669,-0.542817785816109,0.542817785816109,-0.519269537883926,0.519269537883926,1.06208732370004
"1133","CATHEPSIN G PRECURSOR","J04990_at",1133,-0.524825025356377,0.524825025356377,-0.536893701119024,0.536893701119024,1.0617187264754
"312","NADPH-flavin reductase","D26308_at",312,-0.596673004247891,0.596673004247891,-0.463330865081919,0.463330865081919,1.06000386932981
"287","KIAA0028 gene; partial cds","D21851_at",287,0.499159598974433,0.499159598974433,0.559644611320317,0.559644611320317,1.05880421029475
"1095","Adenosine triphosphatase mRNA","J04027_at",1095,-0.628038894162933,0.628038894162933,-0.429410001163028,0.429410001163028,1.05744889532596
"3899","Serine kinase SRPK2 mRNA","U88666_at",3899,0.531650694293456,0.531650694293456,0.524377670804744,0.524377670804744,1.0560283650982
"5884","Urokinase-type plasminogen activator receptor gene extracted from Human urokinase-type plasminogen receptor","U09937_rna1_s_at",5884,-0.529603598976144,0.529603598976144,-0.524377670804744,0.524377670804744,1.05398126978089
"4167","ALDR1 Aldehyde reductase 1 (low Km aldose reductase)","X15414_at",4167,0.612203714522578,0.612203714522578,0.439972885469525,0.439972885469525,1.0521765999921
"1924","PRKAR2B Protein kinase; cAMP-dependent; regulatory; type II; beta","M31158_at",1924,-0.606593272761357,0.606593272761357,-0.44511307522758,0.44511307522758,1.05170634798894
"242","KIAA0110 gene","D14811_at",242,-0.514883369796215,0.514883369796215,-0.53654336998866,0.53654336998866,1.05142673978487
"4373","GRN Granulin","X62320_at",4373,-0.561248144690805,0.561248144690805,-0.489209771840938,0.489209771840938,1.05045791653174
"1539","ALCAM Activated leucocyte cell adhesion molecule","L38608_at",1539,-0.626154068439726,0.626154068439726,-0.424004092912024,0.424004092912024,1.05015816135175
"5899","Rhesus (Rh) Blood Group System Ce-Antigen; Alt. Splice 2; Rhvi","HG627-HT5097_s_at",5899,-0.586413927463284,0.586413927463284,-0.458682472293863,0.458682472293863,1.04509639975715
"1207","Protein tyrosine kinase related mRNA sequence","L05148_at",1207,0.470631010536265,0.470631010536265,0.574287381432557,0.574287381432557,1.04491839196882
"6677","HOX 2.2 gene extracted from Human Hox2.2 gene for a homeobox protein","X58431_rna2_s_at",6677,-0.674418523208029,0.674418523208029,-0.369274472937998,0.369274472937998,1.04369299614603
"2020","FAH Fumarylacetoacetate","M55150_at",2020,-0.811179387593241,0.811179387593241,-0.232495900745069,0.232495900745069,1.04367528833831
"5794","LMNA Lamin A","M13452_s_at",5794,-0.582245738423188,0.582245738423188,-0.460693069530654,0.460693069530654,1.04293880795384
"1909","IL7R Interleukin 7 receptor","M29696_at",1909,0.47136725672561,0.47136725672561,0.570913610218389,0.570913610218389,1.042280866944
"3877","Myeloid progenitor inhibitory factor-1 MPIF-1 mRNA","U85767_at",3877,-0.500499512002853,0.500499512002853,-0.537373290623879,0.537373290623879,1.03787280262673
"1208","CD44 gene (cell surface glycoprotein CD44) extracted from Human hyaluronate receptor (CD44) gene","L05424_cds2_at",1208,-0.498879415227126,0.498879415227126,-0.537373290623879,0.537373290623879,1.03625270585101
"4050","GB DEF = T-cell antigen receptor gene T3-delta","X03934_at",4050,0.344473363329274,0.344473363329274,0.690957659068152,0.690957659068152,1.03543102239743
"6314","Transforming growth factor-beta mRNA; clone pTGF-beta-trp114","M38449_s_at",6314,-0.489954443603354,0.489954443603354,-0.54133100991869,0.54133100991869,1.03128545352204
"4096","HMOX1 Heme oxygenase (decycling) 1","X06985_at",4096,-0.609705812546171,0.609705812546171,-0.420685631446823,0.420685631446823,1.03039144399299
"2997","GB DEF = Selenium-binding protein (hSBP) mRNA","U29091_at",2997,-0.492727209776703,0.492727209776703,-0.537373290623879,0.537373290623879,1.03010050040058
"2995","Down syndrome critical region protein (DSCR1) mRNA","U28833_at",2995,0.488162305179712,0.488162305179712,0.540962746074711,0.540962746074711,1.02912505125442
"1745","LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog","M16038_at",1745,-0.776797647660692,0.776797647660692,-0.248451997499977,0.248451997499977,1.02524964516067
"3898","GB DEF = RNA polymerase II elongation factor ELL2","U88629_at",3898,-0.504397538696873,0.504397538696873,-0.519269537883926,0.519269537883926,1.0236670765808
"4710","ACYLPHOSPHATASE; ORGAN-COMMON TYPE ISOZYME","X84194_at",4710,0.498836123941254,0.498836123941254,0.524377670804744,0.524377670804744,1.023213794746
"235","KIAA0022 gene","D14664_at",235,-0.533997485529293,0.533997485529293,-0.488215488215488,0.488215488215488,1.02221297374478
"1621","Motor protein","L42572_at",1621,0.480325459554434,0.480325459554434,0.54133100991869,0.54133100991869,1.02165646947312
"6283","TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)","M65214_s_at",6283,0.531300076714526,0.531300076714526,0.488215488215488,0.488215488215488,1.01951556493001
"5530","Integrin cytoplasmic domain associated protein (Icap-1a) mRNA","AF012024_s_at",5530,0.509190279465612,0.509190279465612,0.508515879516535,0.508515879516535,1.01770615898215
"2389","ALPHA-ACTININ 1; CYTOSKELETAL ISOFORM","M95178_at",2389,-0.609581956375528,0.609581956375528,-0.408111216192644,0.408111216192644,1.01769317256817
"5376","Cyclooxygenase-2 (hCox-2) gene","U04636_rna1_at",5376,-0.497348773411783,0.497348773411783,-0.519269537883926,0.519269537883926,1.01661831129571
"4204","GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR RECEPTOR ALPHA CHAIN PRECURSOR","X17648_at",4204,-0.404165144849512,0.404165144849512,-0.609671801868558,0.609671801868558,1.01383694671807
"6405","CD36 CD36 antigen (collagen type I receptor; thrombospondin receptor)","M98399_s_at",6405,-0.664593076906739,0.664593076906739,-0.347085707810979,0.347085707810979,1.01167878471772
"2111","ATP6C Vacuolar H+ ATPase proton channel subunit","M62762_at",2111,-0.719074801905927,0.719074801905927,-0.291167340267647,0.291167340267647,1.01024214217357
"5573","Metalloprotease/disintegrin/cysteine-rich protein precursor (MDC9) mRNA","U41766_s_at",5573,-0.54554436177808,0.54554436177808,-0.463330865081919,0.463330865081919,1.00887522686
"4324","CD22 CD22 antigen","X59350_at",4324,0.520444642819124,0.520444642819124,0.487498021521785,0.487498021521785,1.00794266434091
"4107","PLECKSTRIN","X07743_at",4107,-0.590230150708048,0.590230150708048,-0.417424297981301,0.417424297981301,1.00765444868935
"6347","Interferon-gamma induced protein (IFI 16) gene","M63838_s_at",6347,0.48084839108911,0.48084839108911,0.524377670804744,0.524377670804744,1.00522606189385
"50","AFFX-HUMTFRR/M11507_3_at (endogenous control)","AFFX-HUMTFRR/M11507_3_at",50,-0.547307908768266,0.547307908768266,-0.453700877629598,0.453700877629598,1.00100878639786
"3312","Protein kinase ATR mRNA","U49844_at",3312,0.498173010813666,0.498173010813666,0.502764458051115,0.502764458051115,1.00093746886478
"4177","IRF2 Interferon regulatory factor 2","X15949_at",4177,0.491472998818212,0.491472998818212,0.508515879516535,0.508515879516535,0.999988878334747
"4229","SPI1 Spleen focus forming virus (SFFV) proviral integration oncogene spi1","X52056_at",4229,-0.639506408553625,0.639506408553625,-0.360138550467884,0.360138550467884,0.999644959021509
"1404","Guanine nucleotide regulatory protein (G13) mRNA","L22075_at",1404,-0.525747741868489,0.525747741868489,-0.471086902470243,0.471086902470243,0.996834644338732
"3391","NADH:ubiquinone oxidoreductase subunit B13 (B13) mRNA","U53468_at",3391,0.538755728197861,0.538755728197861,0.457587271836636,0.457587271836636,0.996343000034497
"1081","UBIQUITIN-LIKE PROTEIN GDX","J03589_at",1081,0.521601995089308,0.521601995089308,0.472990217968822,0.472990217968822,0.99459221305813
"4230","CTPS CTP synthetase","X52142_at",4230,0.611628052223255,0.611628052223255,0.381448090180886,0.381448090180886,0.993076142404141
"3258","Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA","U46751_at",3258,-0.728930389115918,0.728930389115918,-0.26412410409556,0.26412410409556,0.993054493211478
"1260","LAMP2 Lysosome-associated membrane protein 2 {alternative products}","L09717_at",1260,-0.57768773001417,0.57768773001417,-0.415354305967197,0.415354305967197,0.993042035981367
"4110","SOD2 Superoxide dismutase 2; mitochondrial","X07834_at",4110,-0.529195784737151,0.529195784737151,-0.463330865081919,0.463330865081919,0.99252664981907
"4197","PACE Paired basic amino acid cleaving enzyme (furin; membrane associated receptor protein)","X17094_at",4197,-0.584976425792652,0.584976425792652,-0.405111603446409,0.405111603446409,0.990088029239061
"3433","L-kynurenine hydrolase mRNA","U57721_at",3433,-0.548694218810903,0.548694218810903,-0.438812252057976,0.438812252057976,0.987506470868879
"5599","Cyclooxygenase-2 (hCox-2) gene","D28235_s_at",5599,-0.525841285683964,0.525841285683964,-0.458682472293863,0.458682472293863,0.984523757977827
"3178","Breast cancer; estrogen regulated LIV-1 protein (LIV-1) mRNA; partial cds","U41060_at",3178,0.503599845438732,0.503599845438732,0.480758156113093,0.480758156113093,0.984358001551825
"2335","IGB Immunoglobulin-associated beta (B29)","M89957_at",2335,0.440022777144355,0.440022777144355,0.544331053951817,0.544331053951817,0.984353831096172
"5189","GB DEF = Imogen 38","Z68747_at",5189,0.437855994912809,0.437855994912809,0.544331053951817,0.544331053951817,0.982187048864627
"1879","SLC4A1 Solute carrier family 4; anion exchanger; member 1 (erythrocyte membrane protein band 3)","M27819_at",1879,-0.478658192645939,0.478658192645939,-0.502470302413994,0.502470302413994,0.981128495059933
"6041","APLP2 Amyloid beta (A4) precursor-like protein 2","L09209_s_at",6041,-0.65593154712237,0.65593154712237,-0.323300162478946,0.323300162478946,0.979231709601316
"2951","Transcriptional repressor (CTCF) mRNA","U25435_at",2951,0.436994403087449,0.436994403087449,0.540962746074711,0.540962746074711,0.97795714916216
"2078","EPB42 Erythrocyte membrane protein band 4.2","M60298_at",2078,-0.569045356248676,0.569045356248676,-0.408111216192644,0.408111216192644,0.977156572441319
"4595","Red cell anion exchanger (EPB3; AE1; Band 3) 3' non-coding region","X77737_at",4595,-0.488319784000345,0.488319784000345,-0.488215488215488,0.488215488215488,0.976535272215834
"4448","EWSR1 Ewing sarcoma breakpoint region 1","X66899_at",4448,0.503942423766825,0.503942423766825,0.472292456256327,0.472292456256327,0.976234880023152
"4680","TCL1 gene (T cell leukemia) extracted from H.sapiens mRNA for Tcell leukemia/lymphoma 1","X82240_rna1_at",4680,0.399802045812099,0.399802045812099,0.574287381432557,0.574287381432557,0.974089427244657
"4780","Uridine phosphorylase","X90858_at",4780,-0.551651910501074,0.551651910501074,-0.421269908684687,0.421269908684687,0.972921819185761
"5560","SDC4 Syndecan 4 (amphiglycan; ryudocan)","D79206_s_at",5560,-0.494415433566814,0.494415433566814,-0.477440054589876,0.477440054589876,0.97185548815669
"758","GB DEF = (lambda) DNA for immunoglobin light chain","D88270_at",758,0.425911070123589,0.425911070123589,0.544331053951817,0.544331053951817,0.970242124075406
"5932","(hybridoma H210) anti-hepatitis A IgG variable region; constant region; complementarity-determining regions mRNA","M87789_s_at",5932,-0.514128674650781,0.514128674650781,-0.453577218648355,0.453577218648355,0.967705893299136
"6876","GB DEF = Transducin-like enhancer protein (TLE3) mRNA","M99438_at",6876,-0.474518153269943,0.474518153269943,-0.492855621740843,0.492855621740843,0.967373775010786
"1827","TP53 Tumor protein p53 (Li-Fraumeni syndrome)","M22898_at",1827,0.474307319120304,0.474307319120304,0.492855621740843,0.492855621740843,0.967162940861147
"4137","LCAT Lecithin-cholesterol acyltransferase","X13839_at",4137,-0.429024761295253,0.429024761295253,-0.537373290623879,0.537373290623879,0.966398051919132
"997","Ahnak-Related Sequence","HG4321-HT4591_at",997,-0.617437760006663,0.617437760006663,-0.348297503182144,0.348297503182144,0.965735263188807
"2181","GATA2 GATA-binding protein 2","M68891_at",2181,-0.595603539955084,0.595603539955084,-0.369274472937998,0.369274472937998,0.964878012893083
"6855","TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)","M31523_at",6855,0.523568126439756,0.523568126439756,0.43817897740905,0.43817897740905,0.961747103848806
"3574","Hematopoietic progenitor kinase (HPK1) mRNA","U66464_at",3574,0.468439895786432,0.468439895786432,0.492855621740843,0.492855621740843,0.961295517527275
"5056","GNS Glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)","Z12173_at",5056,-0.502346718613703,0.502346718613703,-0.458682472293863,0.458682472293863,0.961029190907566
"6279","GB DEF = PTX3 gene promotor region","X97748_s_at",6279,-0.501936769832563,0.501936769832563,-0.458682472293863,0.458682472293863,0.960619242126426
"4289","ADH4 gene for class II alcohol dehydrogenase (pi subunit); exon 1","X56411_rna1_at",4289,0.572517584696408,0.572517584696408,0.387364760885636,0.387364760885636,0.959882345582044
"6471","Thymopoietin beta mRNA","U09087_s_at",6471,0.563960338293339,0.563960338293339,0.395899730659919,0.395899730659919,0.959860068953258
"4149","THBS1 Thrombospondin 1","X14787_at",4149,-0.500788629889764,0.500788629889764,-0.458682472293863,0.458682472293863,0.959471102183628
"1570","GB DEF = Thyroid receptor interactor (TRIP14) gene; 3' end of cds","L40387_at",1570,-0.421953722116104,0.421953722116104,-0.537373290623879,0.537373290623879,0.959327012739983
"4386","GB DEF = IrlB mRNA","X63417_at",4386,-0.517110336132048,0.517110336132048,-0.440898939216868,0.440898939216868,0.958009275348916
"2001","CSF1 Colony-stimulating factor 1 (M-CSF)","M37435_at",2001,-0.62689599561293,0.62689599561293,-0.328756880651509,0.328756880651509,0.955652876264438
"2497","BLK Protein-tyrosine kinase blk","S76617_at",2497,0.437646512995505,0.437646512995505,0.515461427355905,0.515461427355905,0.95310794035141
"2830","CSPG2 Chondroitin sulfate proteoglycan 2 (versican)","U16306_at",2830,-0.461668764243277,0.461668764243277,-0.488215488215488,0.488215488215488,0.949884252458766
"4421","IMMUNODEFICIENCY VIRUS TYPE I ENHANCER-BINDING PROTEIN 2","X65644_at",4421,0.515963537069705,0.515963537069705,0.433629090391994,0.433629090391994,0.949592627461699
"5432","Soluble protein Jagged mRNA; partial cds","U73936_at",5432,-0.566795367817138,0.566795367817138,-0.382046588729171,0.382046588729171,0.948841956546308
"5469","APT1 Apoptosis (APO-1) antigen 1","X63717_at",5469,-0.377833733043433,0.377833733043433,-0.570990591522943,0.570990591522943,0.948824324566376
"5976","LYZ Lysozyme","M21119_s_at",5976,-0.538774819445908,0.538774819445908,-0.406181197229962,0.406181197229962,0.944956016675869
"1306","CRYZ Crystallin zeta (quinone reductase)","L13278_at",1306,0.589245950245483,0.589245950245483,0.35557950110938,0.35557950110938,0.944825451354863
"1144","SPTAN1 Spectrin; alpha; non-erythrocytic 1 (alpha-fodrin)","J05243_at",1144,0.532794904677644,0.532794904677644,0.407674946218287,0.407674946218287,0.940469850895931
"379","AARS Alanyl-tRNA synthetase","D32050_at",379,0.532207510037655,0.532207510037655,0.406924528657092,0.406924528657092,0.939132038694747
"4082","ANX1 Annexin I (lipocortin I)","X05908_at",4082,-0.448803308088995,0.448803308088995,-0.489317228945049,0.489317228945049,0.938120537034044
"6169","C1NH Complement component 1 inhibitor (angioedema; hereditary)","M13690_s_at",6169,-0.568200727219512,0.568200727219512,-0.368627488717898,0.368627488717898,0.936828215937411
"1939","ERCC3 DNA repair helicase ERCC3","M31899_at",1939,0.476867802820988,0.476867802820988,0.457587271836636,0.457587271836636,0.934455074657625
"4377","ME491  gene extracted from H.sapiens gene for Me491/CD63 antigen","X62654_rna1_at",4377,-0.642842339298299,0.642842339298299,-0.291167340267647,0.291167340267647,0.934009679565946
"2833","(AF1q) mRNA","U16954_at",2833,0.37667588531362,0.37667588531362,0.556598347924993,0.556598347924993,0.933274233238613
